
Grid Search Results:

Results for lag_0:
Grid Search Results with Lag:

Decay Model: Harmonic, Parameter: 0.4, Period Type: week, Period Amount: 2, Correlation: -0.0564
Decay Model: Harmonic, Parameter: 0.5, Period Type: week, Period Amount: 2, Correlation: -0.0564
Decay Model: Harmonic, Parameter: 0.05, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Harmonic, Parameter: 0.1, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Harmonic, Parameter: 0.2, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Harmonic, Parameter: 0.01, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Harmonic, Parameter: 0.02, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Harmonic, Parameter: 0.3, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Harmonic, Parameter: 0.4, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: Harmonic, Parameter: 0.5, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: PowerLaw, Parameter: 0.5, Period Type: hour, Period Amount: 1, Correlation: 0.0063
Decay Model: PowerLaw, Parameter: 1.0, Period Type: hour, Period Amount: 1, Correlation: 0.1541
Decay Model: PowerLaw, Parameter: 1.5, Period Type: hour, Period Amount: 1, Correlation: 0.1646
Decay Model: PowerLaw, Parameter: 0.5, Period Type: hour, Period Amount: 2, Correlation: -0.0113
Decay Model: PowerLaw, Parameter: 1.0, Period Type: hour, Period Amount: 2, Correlation: 0.1431
Decay Model: PowerLaw, Parameter: 1.5, Period Type: hour, Period Amount: 2, Correlation: 0.1625
Decay Model: PowerLaw, Parameter: 0.5, Period Type: hour, Period Amount: 3, Correlation: -0.0198
Decay Model: PowerLaw, Parameter: 1.0, Period Type: hour, Period Amount: 3, Correlation: 0.1328
Decay Model: PowerLaw, Parameter: 1.5, Period Type: hour, Period Amount: 3, Correlation: 0.1600
Decay Model: PowerLaw, Parameter: 0.5, Period Type: day, Period Amount: 1, Correlation: -0.0470
Decay Model: PowerLaw, Parameter: 1.0, Period Type: day, Period Amount: 1, Correlation: 0.0301
Decay Model: PowerLaw, Parameter: 1.5, Period Type: day, Period Amount: 1, Correlation: 0.0912
Decay Model: PowerLaw, Parameter: 0.5, Period Type: day, Period Amount: 2, Correlation: -0.0516
Decay Model: PowerLaw, Parameter: 1.0, Period Type: day, Period Amount: 2, Correlation: -0.0039
Decay Model: PowerLaw, Parameter: 1.5, Period Type: day, Period Amount: 2, Correlation: 0.0509
Decay Model: PowerLaw, Parameter: 0.5, Period Type: day, Period Amount: 3, Correlation: -0.0536
Decay Model: PowerLaw, Parameter: 1.0, Period Type: day, Period Amount: 3, Correlation: -0.0201
Decay Model: PowerLaw, Parameter: 1.5, Period Type: day, Period Amount: 3, Correlation: 0.0272
Decay Model: PowerLaw, Parameter: 0.5, Period Type: week, Period Amount: 1, Correlation: -0.0566
Decay Model: PowerLaw, Parameter: 1.0, Period Type: week, Period Amount: 1, Correlation: -0.0447
Decay Model: PowerLaw, Parameter: 1.5, Period Type: week, Period Amount: 1, Correlation: -0.0193
Decay Model: PowerLaw, Parameter: 0.5, Period Type: week, Period Amount: 2, Correlation: -0.0581
Decay Model: PowerLaw, Parameter: 1.0, Period Type: week, Period Amount: 2, Correlation: -0.0564
Decay Model: PowerLaw, Parameter: 1.5, Period Type: week, Period Amount: 2, Correlation: -0.0468
Decay Model: PowerLaw, Parameter: 0.5, Period Type: week, Period Amount: 3, Correlation: -0.0586
Decay Model: PowerLaw, Parameter: 1.0, Period Type: week, Period Amount: 3, Correlation: -0.0603
Decay Model: PowerLaw, Parameter: 1.5, Period Type: week, Period Amount: 3, Correlation: -0.0573

Results for lag_1:
Grid Search Results with Lag:

Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 1, Correlation: 0.0806
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 1, Correlation: 0.0818
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 1, Correlation: 0.0822
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 1, Correlation: 0.0378
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 1, Correlation: 0.0694
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 1, Correlation: 0.0822
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 1, Correlation: 0.0822
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 1, Correlation: 0.0822
Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 2, Correlation: 0.0748
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 2, Correlation: 0.0806
Decay Model: Exponential, Parameter: 0.2, Period Type: hour, Period Amount: 2, Correlation: 0.0818
Decay Model: Exponential, Parameter: 0.01, Period Type: hour, Period Amount: 2, Correlation: -0.0040
Decay Model: Exponential, Parameter: 0.02, Period Type: hour, Period Amount: 2, Correlation: 0.0378
Decay Model: Exponential, Parameter: 0.3, Period Type: hour, Period Amount: 2, Correlation: 0.0821
Decay Model: Exponential, Parameter: 0.4, Period Type: hour, Period Amount: 2, Correlation: 0.0822
Decay Model: Exponential, Parameter: 0.5, Period Type: hour, Period Amount: 2, Correlation: 0.0822
Decay Model: Exponential, Parameter: 0.05, Period Type: hour, Period Amount: 3, Correlation: 0.0632
Decay Model: Exponential, Parameter: 0.1, Period Type: hour, Period Amount: 3, Correlation: 0.0786
